交易序號,狀態,多/空,進場價,進場量,當前均價,當前持倉量,出場價,出場量,實現損益,剩餘倉位
43,開倉,-1.0,26282.8,-0.12422797693539667,26282.8,-0.12422797693539667,,,,
44,平倉,,,,,,27596.94,-0.12422797693539667,-163.2529536098821,0.0
45,開倉,1.0,27836.9,0.1155330940627253,27836.9,0.1155330940627253,,,,
46,平倉,,,,,,30620.590000000004,0.1155330940627253,321.60831861146806,0.0
47,開倉,1.0,30624.01280301,0.10816889683942828,30624.01280301,0.10816889683942828,,,,
48,平倉,,,,,,29092.812162859496,0.10816889683942828,-165.62828408490623,0.0
49,開倉,-1.0,29076.55935165,-0.11221675704513812,29076.55935165,-0.11221675704513812,,,,
50,平倉,,,,,,26168.903416485,-0.11221675704513812,326.2877196472646,0.0
51,開倉,-1.0,25197.44137197,-0.13337717360880097,25197.44137197,-0.13337717360880097,,,,
52,平倉,,,,,,26457.3134405685,-0.13337717360880097,-168.03817561834168,0.0
53,開倉,-1.0,26470.6,-0.12505768889565497,26470.6,-0.12505768889565497,,,,
54,平倉,,,,,,27794.13,-0.12505768889565497,-165.5176029840665,0.0
55,開倉,1.0,27902.6,0.11685996211055974,27902.6,0.11685996211055974,,,,
56,平倉,,,,,,26507.469999999998,0.11685996211055974,-163.03483893930533,0.0
57,開倉,-1.0,26485.35982941,-0.12126647883174557,26485.35982941,-0.12126647883174557,,,,
58,平倉,,,,,,27809.6278208805,-0.12126647883174557,-160.58931635521566,0.0
59,開倉,1.0,27857.50940041,0.11356397611594043,27857.50940041,0.11356397611594043,,,,
60,平倉,,,,,,30643.260340451,0.11356397611594043,316.36095321977496,0.0
61,開倉,1.0,30664.6,0.10626317702378903,30664.6,0.10626317702378903,,,,
62,平倉,,,,,,33731.06,0.10626317702378903,325.85178181636803,0.0
63,開倉,1.0,34070.1,0.09851081601488082,34070.1,0.09851081601488082,,,,
64,平倉,,,,,,37477.11,0.09851081601488082,335.6273352708593,0.0
65,開倉,1.0,37639.6,0.0918437377998132,37639.6,0.0918437377998132,,,,
66,平倉,,,,,,35757.619999999995,0.0918437377998132,-172.84807766449273,0.0
67,開倉,-1.0,35689.1,-0.0954102829712854,35689.1,-0.0954102829712854,,,,
68,平倉,,,,,,37473.555,-0.0954102829712854,-170.25535649952525,0.0
69,開倉,1.0,37521.2,0.08939027864355734,37521.2,0.08939027864355734,,,,
70,平倉,,,,,,35645.13999999999,0.08939027864355734,-167.7015261520326,0.0
71,開倉,-1.0,35580.23494954,-0.09285267705175024,35580.23494954,-0.09285267705175024,,,,
72,平倉,,,,,,37359.246697017,-0.09285267705175024,-165.18600325975186,0.0
73,開倉,1.0,37383.2,0.08704884183850256,37383.2,0.08704884183850256,,,,
74,平倉,,,,,,41121.52,0.08704884183850256,325.41642642171087,0.0
75,開倉,1.0,41162.23820455,0.08142873998948678,41162.23820455,0.08142873998948678,,,,
76,平倉,,,,,,45278.462025005,0.08142873998948678,335.1789192143622,0.0
77,開倉,1.0,45285.45900355,0.07623513030170005,45285.45900355,0.07623513030170005,,,,
78,平倉,,,,,,43021.1860533725,0.07623513030170005,-172.61714339539674,0.0
79,開倉,-1.0,42960.47921294,-0.079155488653512,42960.47921294,-0.079155488653512,,,,
80,平倉,,,,,,45108.503173587,-0.079155488653512,-170.0278862444654,0.0
81,開倉,1.0,45133.25214184,0.07421466878764604,45133.25214184,0.07421466878764604,,,,
82,平倉,,,,,,42876.589534748,0.07421466878764604,-167.47746795079883,0.0
83,開倉,-1.0,42514.84532145,-0.07760362512635403,42514.84532145,-0.07760362512635403,,,,
84,平倉,,,,,,44640.587587522496,-0.07760362512635403,-164.96530593153653,0.0
85,開倉,1.0,44658.7,0.07277006556060232,44658.7,0.07277006556060232,,,,
86,平倉,,,,,,49124.57,0.07277006556060232,324.9816526851273,0.0
87,開倉,1.0,49393.24651136,0.06776859710743974,49393.24651136,0.06776859710743974,,,,
88,平倉,,,,,,54332.571162496,0.06776859710743974,334.7311022656813,0.0
89,開倉,1.0,54403.79319318,0.0633729773417475,54403.79319318,0.0633729773417475,,,,
90,平倉,,,,,,59844.172512498,0.0633729773417475,344.7730353336515,0.0
91,開倉,1.0,59922.6,0.059262486339654974,59922.6,0.059262486339654974,,,,
92,平倉,,,,,,65914.86,0.059262486339654974,355.116226393661,0.0
93,開倉,1.0,66006.4,0.055414280007010035,66006.4,0.055414280007010035,,,,
94,平倉,,,,,,62706.079999999994,0.055414280007010035,-182.88485659273533,0.0
95,開倉,-1.0,61837.84527823,-0.05826256815169564,61837.84527823,-0.05826256815169564,,,,
96,平倉,,,,,,64929.737542141505,-0.05826256815169564,-180.14158374384456,0.0
