交易序號,時間,狀態,多/空,進場價,進場量,當前均價,當前持倉量,出場價,出場量,實現損益,剩餘倉位
39,2023-05-24 23:09,開倉,-1.0,26089.648650000003,-0.12819030428566588,26089.648650000003,-0.12819030428566588,,,,
40,2023-05-29 02:24,平倉,,,,,,27394.131082500004,-0.12819030428566588,-170.39921795667286,0.0
41,2023-05-29 02:24,開倉,1.0,27691.421846037254,0.11904917000162474,27691.421846037258,0.11904917000162474,,,,
42,2023-06-05 23:54,平倉,,,,,,26306.85075373539,0.11904917000162474,-167.96384809436904,0.0
43,2023-06-05 23:54,開倉,-1.0,26269.658600000002,-0.12344971372388554,26269.658600000002,-0.12344971372388554,,,,
44,2023-06-21 01:49,平倉,,,,,,27583.14153,-0.12344971372388554,-165.22992443181468,0.0
45,2023-06-21 01:49,開倉,1.0,27850.81845,0.11477697439487132,27850.818450000002,0.11477697439487132,,,,
46,2023-06-22 00:29,平倉,,,,,,30635.900295000003,0.11477697439487132,316.146971667463,0.0
47,2023-06-22 00:29,開倉,1.0,30639.3248094115,0.10742809151743415,30639.3248094115,0.10742809151743415,,,,
48,2023-07-24 22:24,平倉,,,,,,29107.358568940923,0.10742809151743415,-167.70315746306773,0.0
49,2023-07-24 22:24,開倉,-1.0,29062.021071974177,-0.11141511839880319,29062.021071974177,-0.11141511839880319,,,,
50,2023-08-18 05:44,平倉,,,,,,26155.81896477676,-0.11141511839880319,320.2331084937447,0.0
51,2023-08-18 05:44,開倉,-1.0,25184.842651284016,-0.13238003756415717,25184.842651284016,-0.13238003756415717,,,,
52,2023-08-18 06:29,平倉,,,,,,26444.08478384822,-0.13238003756415717,-169.86579270663165,0.0
53,2023-08-18 10:59,開倉,-1.0,26457.3647,-0.12408779920100213,26457.3647,-0.12408779920100213,,,,
54,2023-08-30 00:24,平倉,,,,,,27780.232935000004,-0.12408779920100213,-167.27069226443197,0.0
55,2023-08-30 00:24,開倉,1.0,27916.551299999996,0.11592099982979069,27916.551299999996,0.11592099982979069,,,,
56,2023-09-01 00:44,平倉,,,,,,26520.723734999996,0.11592099982979069,-164.880035736353,0.0
57,2023-09-01 00:44,開倉,-1.0,26472.117149495298,-0.12025637180858956,26472.117149495298,-0.12025637180858956,,,,
58,2023-10-02 06:19,平倉,,,,,,27795.723006970064,-0.12025637180858956,-162.19630684887815,0.0
59,2023-10-02 06:19,開倉,1.0,27871.4381551102,0.11258631710374609,27871.4381551102,0.11258631710374609,,,,
60,2023-10-23 11:49,平倉,,,,,,30658.581970621224,0.11258631710374609,310.34252059517326,0.0
61,2023-10-23 11:49,開倉,1.0,30679.932299999997,0.10531613467169637,30679.932299999997,0.10531613467169637,,,,
62,2023-10-24 06:44,平倉,,,,,,33747.92552999999,0.10531613467169637,319.55498711252454,0.0
63,2023-10-24 06:44,開倉,1.0,34087.13505,0.09760299028730346,34087.13505,0.09760299028730346,,,,
64,2023-11-09 22:14,平倉,,,,,,37495.848555,0.09760299028730346,329.0409241783873,0.0
